time;WECCPVVSource_photovoltaicsV_wecc_reec_PInjPu;WECCPVVSource_photovoltaicsV_wecc_reec_QInjPu;WECCPVVSource_photovoltaicsV_injector_terminal_V_re;WECCPVVSource_photovoltaicsV_injector_terminal_i_re;WECCPVVSource_photovoltaicsV_injector_terminal_V_im;WECCPVVSource_photovoltaicsV_injector_terminal_i_im;WECCPVVSource_photovoltaicsV_pll_omegaPLLPu;
1.0068254265;0.4975541052;1.0132030496;0.8140115171;-0.9951082104;0.2487791086;1.2560356881;1.0000000551;
1.0068354265;0.4974397560;1.0123216140;0.8137796256;-0.9948795119;0.2487219335;1.2551081298;1.0000000534;
1.0068554265;0.4972110622;1.0105611181;0.8133163051;-0.9944221244;0.2486075857;1.2532548630;1.0000000501;
1.0068954265;0.4967536530;1.0070517580;0.8123919955;-0.9935073059;0.2483788792;1.2495576552;1.0000000435;
1.0069754265;0.4958391078;1.0000784190;0.8105526297;-0.9916782156;0.2479216028;1.2422002527;1.0000000308;
1.0071354265;0.4940129050;0.9863132905;0.8069107842;-0.9880258101;0.2470084939;1.2276329910;1.0000000067;
1.0074554265;0.4903851611;0.9594936108;0.7997704890;-0.9807703223;0.2451946069;1.1990720464;0.9999999638;
1.0080954265;0.4833086106;0.9085734281;0.7860338104;-0.9666172212;0.2416563024;1.1441257861;0.9999998962;
1.0093754265;0.4702432495;0.8166764301;0.7605423103;-0.9404864989;0.2351235679;1.0421606282;0.9999998149;
1.0106554265;0.4588760325;0.7366454428;0.7374848792;-0.9177520650;0.2294399124;0.9499316662;0.9999997867;
1.0112720963;0.4540445056;0.7017701587;0.7271579655;-0.9080890113;0.2270241290;0.9086243529;0.9999997844;
1.0112720963;0.4540342650;0.7018472675;0.7271591647;-0.9080685298;0.2270190086;0.9086291496;0.9999997843;
1.0112820963;0.4539590324;0.7013042743;0.7269966928;-0.9079180647;0.2269813920;0.9079792672;0.9999997844;
1.0112920963;0.4538839195;0.7007618410;0.7268343457;-0.9077678391;0.2269438353;0.9073298842;0.9999997844;
1.0113120963;0.4537339762;0.6996784296;0.7265099442;-0.9074679523;0.2268688630;0.9060322891;0.9999997846;
1.0113520963;0.4534355019;0.6975185223;0.7258626153;-0.9068710038;0.2267196246;0.9034429947;0.9999997850;
1.0114320963;0.4528441889;0.6932262418;0.7245738444;-0.9056883778;0.2264239657;0.8982879540;0.9999997857;
1.0115920963;0.4516841738;0.6847517050;0.7220199823;-0.9033683475;0.2258439533;0.8880725900;0.9999997874;
1.0119120963;0.4494530935;0.6682342612;0.7170059310;-0.8989061870;0.2247284040;0.8680165505;0.9999997915;
1.0125520963;0.4453339415;0.6368595575;0.7073441855;-0.8906678830;0.2226688110;0.8293698879;0.9999998017;
1.0138320963;0.4383625540;0.5802509690;0.6894213284;-0.8767251079;0.2191830884;0.7576790516;0.9999998267;
1.0140166236;0.4374851187;0.5727045325;0.6869849537;-0.8749702374;0.2187443671;0.7479336336;0.9999998306;
1.0140166236;0.4374851187;0.5727045325;0.6869849537;-0.8749702374;0.2187443671;0.7479336336;0.9999998306;
