time;WECCPVVSource_photovoltaics_wecc_reec_PInjPu;WECCPVVSource_photovoltaics_wecc_reec_QInjPu;WECCPVVSource_photovoltaics_injector_terminal_V_re;WECCPVVSource_photovoltaics_injector_terminal_i_re;WECCPVVSource_photovoltaics_injector_terminal_V_im;WECCPVVSource_photovoltaics_injector_terminal_i_im;WECCPVVSource_photovoltaics_pll_omegaPLLPu;
4.056172;0.385423;0.231549;0.457637;-0.770845;0.423965;-0.077023;1.004001;
4.056174;0.385423;0.231546;0.457634;-0.770845;0.423965;-0.077029;1.004002;
4.056178;0.385422;0.231540;0.457627;-0.770845;0.423965;-0.077043;1.004003;
4.056186;0.385422;0.231528;0.457612;-0.770844;0.423964;-0.077069;1.004006;
4.056202;0.385421;0.231505;0.457583;-0.770842;0.423963;-0.077121;1.004011;
4.056234;0.385419;0.231457;0.457525;-0.770839;0.423961;-0.077226;1.004022;
4.056298;0.385416;0.231362;0.457410;-0.770832;0.423958;-0.077436;1.004043;
4.056426;0.385411;0.231175;0.457180;-0.770822;0.423952;-0.077854;1.004084;
4.056682;0.385403;0.230808;0.456724;-0.770805;0.423943;-0.078683;1.004158;
4.056842;0.385399;0.230583;0.456442;-0.770799;0.423939;-0.079196;1.004200;
4.056843;0.385399;0.230582;0.456440;-0.770799;0.423939;-0.079199;1.004200;
4.056844;0.385399;0.230580;0.456439;-0.770799;0.423939;-0.079203;1.004201;
4.056846;0.385399;0.230578;0.456435;-0.770799;0.423939;-0.079209;1.004201;
4.056850;0.385399;0.230572;0.456428;-0.770799;0.423939;-0.079222;1.004202;
4.056858;0.385399;0.230561;0.456414;-0.770798;0.423939;-0.079247;1.004204;
4.056874;0.385399;0.230539;0.456386;-0.770798;0.423939;-0.079298;1.004208;
4.056906;0.385399;0.230494;0.456330;-0.770797;0.423938;-0.079400;1.004216;
4.056970;0.385398;0.230406;0.456218;-0.770796;0.423938;-0.079604;1.004231;
4.057098;0.385397;0.230232;0.455995;-0.770794;0.423937;-0.080010;1.004260;
4.057354;0.385398;0.229889;0.455553;-0.770796;0.423938;-0.080813;1.004312;
4.057866;0.385407;0.229230;0.454687;-0.770813;0.423947;-0.082387;1.004389;
4.058890;0.385443;0.228005;0.453035;-0.770885;0.423987;-0.085391;1.004445;
4.059914;0.385491;0.226893;0.451498;-0.770982;0.424040;-0.088185;1.004374;
4.060911;0.385523;0.225897;0.450134;-0.771047;0.424076;-0.090666;1.004200;
4.060912;0.385523;0.225896;0.450132;-0.771047;0.424076;-0.090668;1.004200;
4.060913;0.385523;0.225895;0.450131;-0.771047;0.424076;-0.090671;1.004200;
4.060915;0.385523;0.225893;0.450128;-0.771047;0.424076;-0.090676;1.004199;
4.060919;0.385524;0.225889;0.450123;-0.771047;0.424076;-0.090685;1.004198;
4.060927;0.385524;0.225882;0.450113;-0.771048;0.424076;-0.090704;1.004196;
4.060943;0.385525;0.225867;0.450092;-0.771049;0.424077;-0.090743;1.004192;
4.060975;0.385526;0.225837;0.450050;-0.771052;0.424079;-0.090819;1.004185;
4.061039;0.385529;0.225777;0.449966;-0.771057;0.424082;-0.090971;1.004169;
4.061167;0.385534;0.225658;0.449801;-0.771067;0.424087;-0.091272;1.004136;
4.061423;0.385543;0.225424;0.449476;-0.771085;0.424097;-0.091861;1.004065;
4.061637;0.385549;0.225232;0.449212;-0.771097;0.424103;-0.092343;1.004000;
4.061638;0.385549;0.225231;0.449210;-0.771097;0.424104;-0.092345;1.004000;
4.061639;0.385549;0.225230;0.449209;-0.771097;0.424104;-0.092347;1.004000;
4.061641;0.385549;0.225228;0.449207;-0.771097;0.424104;-0.092352;1.003999;
4.061645;0.385549;0.225225;0.449202;-0.771098;0.424104;-0.092360;1.003998;
4.061653;0.385549;0.225218;0.449192;-0.771098;0.424104;-0.092378;1.003995;
4.061669;0.385549;0.225203;0.449173;-0.771099;0.424104;-0.092413;1.003990;
4.061701;0.385550;0.225175;0.449134;-0.771100;0.424105;-0.092484;1.003980;
4.061765;0.385552;0.225119;0.449057;-0.771103;0.424107;-0.092624;1.003960;
4.061893;0.385554;0.225007;0.448904;-0.771109;0.424110;-0.092901;1.003917;
