time;WT4A_WT_pQCalculus_PWtPu;WT4A_WT_pQCalculus_QWtPu;WT4A_WT_control4A_UWTPu;WT4A_WT_terminal_V_re;WT4A_WT_terminal_V_im;WT4A_WT_terminal_i_re;WT4A_WT_terminal_i_im;
12.008357;0.298977;-0.048239;0.597312;0.593047;0.071253;-0.487340;-0.139831;
12.010255;0.305305;-0.003705;0.608923;0.604617;0.072284;-0.497118;-0.065560;
12.012152;0.311999;0.043370;0.620746;0.616394;0.073379;-0.507364;0.010017;
12.014050;0.318740;0.091034;0.632237;0.627834;0.074482;-0.517572;0.083429;
12.015947;0.325295;0.137453;0.643030;0.638576;0.075557;-0.527411;0.152345;
12.017845;0.331502;0.181255;0.652901;0.648394;0.076579;-0.536662;0.215326;
12.019742;0.337260;0.221497;0.661728;0.657170;0.077535;-0.545199;0.271611;
12.021640;0.342517;0.257611;0.669472;0.664863;0.078417;-0.552968;0.320940;
12.023538;0.347258;0.289338;0.676147;0.671490;0.079224;-0.559963;0.363414;
12.025435;0.351494;0.316669;0.681808;0.677103;0.079959;-0.566217;0.399382;
12.027333;0.355255;0.339776;0.686533;0.681782;0.080626;-0.571783;0.429348;
12.029230;0.358583;0.358957;0.690415;0.685619;0.081232;-0.576729;0.453906;
12.033025;0.363818;0.383983;0.695573;0.690693;0.082248;-0.584655;0.486318;
12.036820;0.368136;0.400580;0.698815;0.693852;0.083139;-0.591248;0.506428;
12.040615;0.371747;0.410439;0.700711;0.695666;0.083933;-0.596859;0.517904;
12.044411;0.374886;0.415720;0.701706;0.696580;0.084664;-0.601817;0.523591;
12.052001;0.380331;0.418115;0.702093;0.696804;0.086017;-0.610590;0.524673;
12.059591;0.385500;0.417559;0.701893;0.696439;0.087335;-0.618985;0.521959;
12.074771;0.395778;0.415615;0.701315;0.695521;0.089968;-0.635697;0.515330;
12.105132;0.416689;0.414656;0.700712;0.694203;0.095287;-0.669613;0.505401;
12.135493;0.437707;0.414971;0.700327;0.693061;0.100618;-0.703652;0.496594;
12.149998;0.447750;0.415326;0.700159;0.692501;0.103164;-0.719900;0.492301;
12.149998;0.808445;0.703428;1.228554;1.220283;0.142321;-0.719944;0.492480;
12.150095;0.808367;0.703400;1.228550;1.220281;0.142302;-0.719874;0.492478;
12.150289;0.808052;0.702304;1.228335;1.220071;0.142251;-0.719630;0.491722;
12.150677;0.806835;0.696270;1.227146;1.218890;0.142104;-0.718770;0.487435;
12.151065;0.805090;0.686708;1.225256;1.217009;0.141917;-0.717575;0.480591;
12.151389;0.802924;0.673881;1.222698;1.214458;0.141712;-0.716130;0.471297;
12.151389;0.802912;0.673852;1.222698;1.214458;0.141709;-0.716121;0.471298;
12.151531;0.801995;0.669031;1.221739;1.213504;0.141606;-0.715483;0.467830;
12.151816;0.799622;0.657775;1.219498;1.211284;0.141305;-0.713781;0.459772;
12.152385;0.793052;0.629741;1.213895;1.205750;0.140390;-0.708926;0.439738;
12.152954;0.784989;0.597089;1.207328;1.199274;0.139221;-0.702886;0.416321;
12.153611;0.773321;0.552265;1.198148;1.190235;0.137471;-0.694021;0.383665;
12.153611;0.773270;0.552059;1.198148;1.190236;0.137462;-0.693989;0.383673;
12.153621;0.773098;0.551391;1.198011;1.190101;0.137437;-0.693858;0.383184;
12.153621;0.773098;0.551390;1.198011;1.190101;0.137437;-0.693858;0.383184;
12.153621;0.773097;0.551386;1.198010;1.190101;0.137436;-0.693858;0.383182;
12.153621;0.773097;0.551386;1.198010;1.190101;0.137436;-0.693858;0.383182;
12.153621;0.773097;0.551386;1.198010;1.190101;0.137436;-0.693858;0.383182;
12.153621;0.773097;0.551386;1.198010;1.190101;0.137436;-0.693858;0.383182;
12.153780;0.770437;0.541058;1.195888;1.188010;0.137041;-0.691840;0.375626;
12.154098;0.764807;0.519453;1.191427;1.183617;0.136197;-0.687557;0.359753;
12.154734;0.752597;0.473372;1.181812;1.174150;0.134351;-0.678223;0.325557;
12.155300;0.740834;0.429902;1.172524;1.165007;0.132556;-0.669165;0.292534;
12.155300;0.740756;0.429506;1.172525;1.165010;0.132543;-0.669119;0.292546;
12.155300;0.740755;0.429505;1.172525;1.165009;0.132543;-0.669119;0.292545;
12.155300;0.740755;0.429505;1.172525;1.165009;0.132543;-0.669119;0.292545;
12.155444;0.737902;0.418954;1.170271;1.162790;0.132107;-0.666922;0.284530;
12.155732;0.732158;0.398024;1.165777;1.158368;0.131224;-0.662483;0.268559;
12.156307;0.720617;0.357009;1.156879;1.149617;0.129423;-0.653510;0.236975;
12.157457;0.697888;0.279264;1.139663;1.132698;0.125807;-0.635671;0.175944;
12.158607;0.676066;0.206977;1.123188;1.116511;0.122289;-0.618388;0.117569;
12.159757;0.655409;0.140323;1.107570;1.101167;0.118926;-0.601904;0.062242;
12.160907;0.636092;0.079323;1.092890;1.086742;0.115760;-0.586388;0.010231;
12.162058;0.618212;0.023857;1.079196;1.073283;0.112815;-0.571945;-0.038302;
12.163208;0.601813;-0.026291;1.066510;1.060810;0.110105;-0.558632;-0.083282;
12.164358;0.586892;-0.071401;1.054832;1.049325;0.107636;-0.546468;-0.124705;
12.165446;0.574147;-0.109611;1.044727;1.039382;0.105526;-0.536038;-0.160576;
12.165446;0.574014;-0.110331;1.044728;1.039387;0.105506;-0.535965;-0.160555;
12.165709;0.571090;-0.118796;1.042468;1.037165;0.105014;-0.533559;-0.168562;
12.166234;0.565770;-0.133325;1.038571;1.033342;0.104093;-0.529148;-0.182327;
12.167284;0.556834;-0.155177;1.032669;1.027572;0.102473;-0.521646;-0.203033;
12.168334;0.549308;-0.171556;1.028203;1.023225;0.101050;-0.515251;-0.218580;
12.169384;0.542918;-0.183876;1.024831;1.019961;0.099794;-0.509766;-0.230205;
12.171484;0.533319;-0.198715;1.020792;1.016097;0.097798;-0.501402;-0.243827;
12.173584;0.526080;-0.207479;1.018406;1.013850;0.096221;-0.495011;-0.251633;
12.175684;0.520531;-0.212593;1.017030;1.012586;0.094963;-0.490058;-0.255925;
12.179885;0.513470;-0.216542;1.016016;1.011724;0.093285;-0.483673;-0.258629;
12.184085;0.508934;-0.217849;1.015714;1.011524;0.092169;-0.479531;-0.259062;
12.192486;0.504510;-0.217965;1.015753;1.011664;0.091046;-0.475452;-0.258241;
12.200886;0.502309;-0.217647;1.015881;1.011844;0.090476;-0.473411;-0.257429;
12.209287;0.501203;-0.217342;1.015986;1.011975;0.090185;-0.472381;-0.256868;
12.226089;0.500447;-0.216956;1.016110;1.012118;0.089981;-0.471670;-0.256291;
12.242890;0.500182;-0.216676;1.016194;1.012210;0.089905;-0.471417;-0.255933;
12.276493;0.500067;-0.216229;1.016325;1.012345;0.089862;-0.471296;-0.255427;
12.343698;0.500035;-0.215468;1.016545;1.012568;0.089831;-0.471242;-0.254600;
12.478109;0.500025;-0.214273;1.016889;1.012917;0.089792;-0.471194;-0.253311;
12.746932;0.500016;-0.212729;1.017333;1.013367;0.089742;-0.471135;-0.251646;
13.284576;0.500008;-0.211270;1.017753;1.013793;0.089696;-0.471080;-0.250074;
14.359865;0.500002;-0.210381;1.018008;1.014052;0.089667;-0.471046;-0.249117;
15.435153;0.500001;-0.210113;1.018085;1.014130;0.089659;-0.471035;-0.248829;
17.585731;0.500000;-0.210019;1.018112;1.014157;0.089656;-0.471032;-0.248729;
19.999996;0.500000;-0.210010;1.018115;1.014160;0.089655;-0.471031;-0.248718;
19.999996;0.500000;-0.210010;1.018115;1.014160;0.089655;-0.471031;-0.248718;
20.003197;0.498330;-0.211831;1.017618;1.014508;0.079097;-0.472037;-0.245599;
20.003197;0.498332;-0.211832;1.017618;1.014539;0.079102;-0.472041;-0.245600;
20.007128;0.496678;-0.213324;1.017214;1.015058;0.066199;-0.473589;-0.241046;
20.011059;0.495618;-0.213864;1.017076;1.015672;0.053409;-0.475583;-0.235572;
20.018921;0.494598;-0.213930;1.017072;1.016685;0.028050;-0.480310;-0.223671;
20.026783;0.494102;-0.213773;1.017125;1.017118;0.002797;-0.485207;-0.211521;
20.042508;0.493769;-0.213435;1.017227;1.016116;-0.047541;-0.494683;-0.186905;
20.058232;0.493641;-0.213161;1.017304;1.012601;-0.097715;-0.503122;-0.161968;
20.089681;0.493616;-0.212679;1.017447;0.998158;-0.197180;-0.516464;-0.111048;
