time;WTG4B_WTG4B_injector_PInjPu;WTG4B_WTG4B_injector_QInjPu;WTG4B_WTG4B_injector_terminal_V_re;WTG4B_WTG4B_injector_terminal_i_re;WTG4B_WTG4B_injector_terminal_V_im;WTG4B_WTG4B_injector_terminal_i_im;WTG4B_WTG4B_pll_omegaPLLPu;
2.012859;0.908874;0.758093;1.087477;-0.908874;0.136333;0.583169;0.996878;
2.013883;0.899045;0.726340;1.083751;-0.899045;0.134859;0.558335;0.997057;
2.014907;0.889940;0.695909;1.080144;-0.889940;0.133493;0.534288;0.997284;
2.015931;0.881523;0.666778;1.076657;-0.881523;0.132230;0.511039;0.997520;
2.016955;0.873751;0.638925;1.073291;-0.873751;0.131064;0.488597;0.997747;
2.017979;0.866585;0.612326;1.070046;-0.866585;0.129989;0.466969;0.997960;
2.019003;0.859985;0.586954;1.066924;-0.859985;0.129000;0.446157;0.998158;
2.020027;0.853916;0.562779;1.063925;-0.853916;0.128089;0.426159;0.998342;
2.021051;0.848342;0.539767;1.061046;-0.848342;0.127253;0.406969;0.998512;
2.022075;0.843301;0.518516;1.058370;-0.843301;0.126497;0.389127;0.998669;
2.023099;0.838779;0.499232;1.055928;-0.838779;0.125819;0.372846;0.998816;
2.024123;0.834752;0.481862;1.053716;-0.834752;0.125214;0.358103;0.998952;
2.026171;0.827987;0.452115;1.049902;-0.827987;0.124200;0.332678;0.999194;
2.027881;0.823524;0.431814;1.047278;-0.823524;0.123530;0.315183;0.999368;
2.029592;0.819975;0.414949;1.045082;-0.819975;0.122998;0.300544;0.999520;
2.031303;0.817203;0.400960;1.043248;-0.817203;0.122582;0.288316;0.999650;
2.033014;0.815086;0.389372;1.041718;-0.815086;0.122265;0.278114;0.999761;
2.034724;0.813521;0.379795;1.040443;-0.813521;0.122030;0.269617;0.999856;
2.036435;0.812419;0.371894;1.039383;-0.812419;0.121865;0.262549;0.999935;
2.038146;0.811700;0.365390;1.038502;-0.811700;0.121757;0.256678;1.000000;
2.039856;0.811297;0.360050;1.037772;-0.811297;0.121696;0.251807;1.000054;
2.041567;0.811153;0.355676;1.037166;-0.811153;0.121675;0.247770;1.000098;
2.043278;0.811217;0.352105;1.036665;-0.811217;0.121684;0.244430;1.000132;
2.044989;0.811448;0.349198;1.036251;-0.811448;0.121719;0.241669;1.000159;
