time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;WT4B_WT_gridProtection_fOCB;
2.180128;0.521142;-0.218936;1.015192;1.010708;0.095312;-0.490829;-0.262902;-1.000000;
2.180384;0.521053;-0.218935;1.015194;1.010712;0.095289;-0.490746;-0.262882;-1.000000;
2.180896;0.520876;-0.218933;1.015198;1.010720;0.095244;-0.490583;-0.262841;-1.000000;
2.181920;0.520527;-0.218929;1.015205;1.010736;0.095155;-0.490261;-0.262759;-1.000000;
2.182432;0.520355;-0.218928;1.015208;1.010743;0.095111;-0.490102;-0.262719;-1.000000;
2.182688;0.520270;-0.218927;1.015210;1.010747;0.095090;-0.490023;-0.262699;-1.000000;
2.183200;0.520100;-0.218925;1.015214;1.010755;0.095046;-0.489867;-0.262660;-1.000000;
2.184224;0.519766;-0.218921;1.015221;1.010770;0.094961;-0.489558;-0.262582;-1.000000;
2.184736;0.519601;-0.218919;1.015224;1.010777;0.094919;-0.489406;-0.262544;-1.000000;
2.184992;0.519519;-0.218918;1.015226;1.010781;0.094898;-0.489330;-0.262525;-1.000000;
2.185504;0.519356;-0.218916;1.015229;1.010788;0.094857;-0.489180;-0.262487;-1.000000;
2.186528;0.519036;-0.218912;1.015236;1.010802;0.094775;-0.488884;-0.262412;-1.000000;
2.187040;0.518877;-0.218911;1.015239;1.010809;0.094734;-0.488739;-0.262375;-1.000000;
2.187296;0.518799;-0.218910;1.015241;1.010813;0.094714;-0.488666;-0.262356;-1.000000;
2.187808;0.518643;-0.218908;1.015244;1.010820;0.094675;-0.488522;-0.262320;-1.000000;
2.188832;0.518335;-0.218904;1.015250;1.010834;0.094596;-0.488238;-0.262248;-1.000000;
2.189344;0.518184;-0.218902;1.015254;1.010841;0.094557;-0.488098;-0.262212;-1.000000;
2.189600;0.518108;-0.218901;1.015255;1.010844;0.094538;-0.488029;-0.262195;-1.000000;
