time;Load2_load_PPu;Load2_load_QPu;Bus1_bus_U;
23.3593750000;0.0404302599;0.0051069575;1.9868997915;
23.3789062500;0.0404303098;0.0051069457;1.9869024933;
23.3984375000;0.0404303607;0.0051069338;1.9869052700;
23.4179687500;0.0404304128;0.0051069217;1.9869081234;
23.4375000000;0.0404304660;0.0051069095;1.9869110553;
23.4570312500;0.0404305204;0.0051068973;1.9869140676;
23.4765625000;0.0404305760;0.0051068849;1.9869171621;
23.4960937500;0.0404306329;0.0051068723;1.9869203406;
23.5156250000;0.0404306909;0.0051068597;1.9869236050;
23.5351562500;0.0404307502;0.0051068470;1.9869269572;
23.5546875000;0.0404308107;0.0051068341;1.9869303991;
23.5742187500;0.0404308726;0.0051068212;1.9869339325;
23.5937500000;0.0404309357;0.0051068081;1.9869375594;
23.6132812500;0.0404310001;0.0051067949;1.9869412817;
23.6328125000;0.0404310659;0.0051067816;1.9869451015;
23.6523437500;0.0404311330;0.0051067681;1.9869490207;
23.6718750000;0.0404312015;0.0051067546;1.9869530413;
23.6914062500;0.0404312713;0.0051067409;1.9869571653;
23.7109375000;0.0404313425;0.0051067271;1.9869613949;
23.7304687500;0.0404314152;0.0051067132;1.9869657320;
23.7500000000;0.0404314892;0.0051066992;1.9869701789;
23.7695312500;0.0404315647;0.0051066851;1.9869747376;
23.7890625000;0.0404316416;0.0051066708;1.9869794103;
23.8085937500;0.0404317200;0.0051066564;1.9869841993;
23.8281250000;0.0404317999;0.0051066419;1.9869891066;
23.8476562500;0.0404318813;0.0051066273;1.9869941347;
23.8671875000;0.0404319642;0.0051066126;1.9869992858;
23.8867187500;0.0404320486;0.0051065977;1.9870045622;
23.9062500000;0.0404321345;0.0051065828;1.9870099663;
23.9257812500;0.0404322220;0.0051065677;1.9870155004;
23.9453125000;0.0404323110;0.0051065524;1.9870211670;
23.9648437500;0.0404324017;0.0051065371;1.9870269686;
23.9843750000;0.0404324939;0.0051065216;1.9870329076;
24.0039062500;0.0404325877;0.0051065060;1.9870389867;
24.0234375000;0.0404326831;0.0051064903;1.9870452083;
24.0429687500;0.0404327802;0.0051064744;1.9870515752;
24.0625000000;0.0404328789;0.0051064584;1.9870580899;
24.0820312500;0.0404329792;0.0051064423;1.9870647552;
24.1015625000;0.0404330813;0.0051064261;1.9870715738;
24.1210937500;0.0404331850;0.0051064097;1.9870785485;
24.1406250000;0.0404332904;0.0051063932;1.9870856822;
24.1601562500;0.0404333975;0.0051063766;1.9870929777;
24.1796875000;0.0404335063;0.0051063598;1.9871004380;
24.1992187500;0.0404336169;0.0051063429;1.9871080660;
24.2187500000;0.0404337292;0.0051063259;1.9871158647;
24.2382812500;0.0404140760;0.0051041752;1.9860977745;
24.2578125000;0.0404095400;0.0051030327;1.9858745331;
24.2773437500;0.0404065408;0.0051022788;1.9857269253;
24.2968750000;0.0404046366;0.0051018016;1.9856331259;
24.3164062500;0.0404035129;0.0051015216;1.9855776696;
24.3359375000;0.0404029453;0.0051013821;1.9855495306;
24.3554687500;0.0404027733;0.0051013426;1.9855408282;
24.3750000000;0.0404028822;0.0051013742;1.9855459152;
24.3945312500;0.0404031892;0.0051014558;1.9855607333;
24.4140625000;0.0404036350;0.0051015726;1.9855823575;
24.4335937500;0.0404041764;0.0051017137;1.9856086733;
24.4531250000;0.0404047823;0.0051018712;1.9856381472;
24.4726562500;0.0404054300;0.0051020393;1.9856696639;
24.4921875000;0.0404061029;0.0051022139;1.9857024099;
24.5117187500;0.0404067890;0.0051023920;1.9857357901;
24.5312500000;0.0404074793;0.0051025712;1.9857693684;
24.5507812500;0.0404081674;0.0051027501;1.9858028249;
24.5703125000;0.0404088485;0.0051029273;1.9858359250;
24.5898437500;0.0404095191;0.0051031019;1.9858684967;
24.6093750000;0.0404101767;0.0051032734;1.9859004147;
24.6289062500;0.0404108194;0.0051034413;1.9859315883;
24.6484375000;0.0404114459;0.0051036052;1.9859619528;
24.6679687500;0.0404120553;0.0051037650;1.9859914628;
24.6875000000;0.0404126470;0.0051039204;1.9860200878;
24.7070312500;0.0404132207;0.0051040715;1.9860478085;
24.7265625000;0.0404137760;0.0051042180;1.9860746140;
24.7460937500;0.0404143129;0.0051043601;1.9861005001;
24.7656250000;0.0404148315;0.0051044976;1.9861254673;
