time;WT4B_WT_controlMeasurements_PPu;WT4B_WT_controlMeasurements_QPu;WT4B_WT_controlMeasurements_UPu;WT4B_WT_terminal_V_re;WT4B_WT_terminal_V_im;WT4B_WT_terminal_i_re;WT4B_WT_terminal_i_im;
12.155125;0.759367;0.496972;1.186745;1.178992;0.135427;-0.683483;0.343013;
12.155466;0.752632;0.474603;1.182075;1.174418;0.134326;-0.678204;0.326547;
12.156149;0.739012;0.430479;1.172767;1.165307;0.132071;-0.667472;0.293764;
12.156831;0.725424;0.387382;1.163545;1.156283;0.129802;-0.656709;0.261302;
12.158195;0.698989;0.306073;1.145774;1.138898;0.125334;-0.635618;0.198796;
12.159559;0.674006;0.231070;1.128909;1.122396;0.121080;-0.615551;0.139469;
12.160602;0.656245;0.178656;1.116832;1.110575;0.118042;-0.601212;0.096966;
12.160602;0.656191;0.178659;1.116833;1.110578;0.118028;-0.601162;0.096981;
12.160788;0.653029;0.169376;1.114667;1.108458;0.117487;-0.598603;0.089357;
12.161159;0.646827;0.151259;1.110417;1.104297;0.116424;-0.593579;0.074393;
12.161902;0.634954;0.116860;1.102260;1.096309;0.114384;-0.583939;0.045669;
12.163388;0.613479;0.055427;1.087390;1.081742;0.110686;-0.566433;-0.006720;
12.164874;0.594414;0.001448;1.073981;1.068597;0.107400;-0.550829;-0.054007;
12.165338;0.589171;-0.013368;1.070241;1.064928;0.106498;-0.546528;-0.067209;
12.165338;0.589122;-0.013365;1.070242;1.064931;0.106486;-0.546483;-0.067195;
12.165525;0.586864;-0.019713;1.068631;1.063351;0.106097;-0.544628;-0.072880;
