time;GfmEPRI_gfm_epriVoltageControl_PPu;GfmEPRI_gfm_epriVoltageControl_QPu;GfmEPRI_gfm_injectorURI_terminal_V_re;GfmEPRI_gfm_injectorURI_terminal_i_re;GfmEPRI_gfm_injectorURI_terminal_V_im;GfmEPRI_gfm_injectorURI_terminal_i_im;GfmEPRI_gfm_pll_omegaPLLPu;
6.250558;-1.046314;-0.494920;-0.219771;-0.704695;-0.568762;-1.566826;1.010877;
6.252131;-1.138044;-0.411025;-0.237472;-0.577672;-0.623581;-1.604575;1.010877;
6.253703;-1.190833;-0.334272;-0.233311;-0.440280;-0.683423;-1.591777;1.010877;
6.255276;-1.198814;-0.268495;-0.206440;-0.301757;-0.744289;-1.526698;1.010877;
6.255664;-1.193246;-0.254169;-0.196336;-0.268890;-0.758819;-1.502676;1.010877;
6.255664;-1.194342;-0.258384;-0.196923;-0.269393;-0.758586;-1.504038;1.010877;
6.255674;-1.194133;-0.258014;-0.196621;-0.268508;-0.758978;-1.503323;1.010877;
6.255674;-1.194136;-0.258016;-0.196622;-0.268507;-0.758979;-1.503325;-7.803426;
6.255678;-1.194060;-0.257860;-0.196502;-0.268141;-0.759141;-1.503042;-7.647923;
6.255683;-1.193983;-0.257704;-0.196382;-0.267775;-0.759302;-1.502757;-7.493933;
6.255691;-1.193829;-0.257392;-0.196142;-0.267043;-0.759626;-1.502187;-7.189064;
6.255709;-1.193515;-0.256770;-0.195660;-0.265581;-0.760273;-1.501043;-6.599429;
6.255743;-1.192870;-0.255529;-0.194686;-0.262659;-0.761567;-1.498735;-5.505937;
6.255812;-1.191503;-0.253066;-0.192705;-0.256832;-0.764147;-1.494038;-3.670528;
6.255881;-1.190035;-0.250627;-0.190677;-0.251024;-0.766720;-1.489237;-2.292117;
6.255950;-1.188465;-0.248213;-0.188603;-0.245236;-0.769286;-1.484329;-1.290368;
6.256019;-1.186793;-0.245824;-0.186483;-0.239470;-0.771843;-1.479316;-0.574905;
6.256087;-1.185019;-0.243458;-0.184317;-0.233726;-0.774391;-1.474197;-0.070290;
6.256225;-1.181162;-0.238799;-0.179846;-0.222307;-0.779462;-1.463641;0.577241;
6.256363;-1.176891;-0.234234;-0.175189;-0.210982;-0.784496;-1.452660;0.884627;
6.256501;-1.172203;-0.229761;-0.170347;-0.199757;-0.789490;-1.441255;1.018743;
6.256638;-1.167094;-0.225376;-0.165318;-0.188636;-0.794444;-1.429423;1.072179;
6.256776;-1.161562;-0.221076;-0.160102;-0.177621;-0.799357;-1.417163;1.090888;
6.257052;-1.149208;-0.212715;-0.149101;-0.155916;-0.809053;-1.391339;1.106874;
6.257603;-1.116603;-0.198116;-0.123585;-0.114449;-0.827684;-1.331657;1.107997;
6.258154;-1.075674;-0.183132;-0.093974;-0.073114;-0.846353;-1.262552;1.119085;
6.258170;-1.074314;-0.182758;-0.093065;-0.072078;-0.846825;-1.260437;1.119276;
6.258170;-1.074341;-0.182793;-0.093072;-0.072053;-0.846836;-1.260453;1.119374;
6.258172;-1.076728;-0.186206;-0.095586;-0.078064;-0.844162;-1.266379;1.091500;
6.258172;-1.076730;-0.186324;-0.095585;-0.078067;-0.844161;-1.266376;1.091525;
6.258172;-1.076730;-0.186324;-0.095585;-0.078067;-0.844161;-1.266376;1.091525;
6.258172;-1.076730;-0.186324;-0.095585;-0.078066;-0.844161;-1.266376;1.091526;
6.258172;-1.076729;-0.186324;-0.095585;-0.078066;-0.844162;-1.266376;1.091526;
6.258172;-1.076729;-0.186324;-0.095585;-0.078066;-0.844162;-1.266375;1.091527;
6.258172;-1.076729;-0.186324;-0.095585;-0.078066;-0.844162;-1.266375;1.091527;
6.258172;-1.076729;-0.186324;-0.095585;-0.078066;-0.844162;-1.266375;1.091527;
6.258308;-1.066142;-0.182408;-0.088085;-0.068064;-0.848687;-1.248884;1.105312;
6.258444;-1.055234;-0.178624;-0.080511;-0.058439;-0.853050;-1.231230;1.113610;
6.258716;-1.032605;-0.171277;-0.065171;-0.040125;-0.861374;-1.195504;1.123527;
6.259260;-0.983768;-0.158160;-0.033733;-0.008037;-0.876065;-1.122414;1.129923;
6.260348;-0.873415;-0.138649;0.031238;0.037437;-0.897364;-0.971851;1.133021;
6.261436;-0.748819;-0.128567;0.097552;0.057371;-0.907588;-0.818799;1.132636;
6.263611;-0.476545;-0.139225;0.225095;0.023230;-0.895736;-0.526131;1.130047;
6.263837;-0.447960;-0.142379;0.237352;0.014584;-0.892264;-0.498132;1.129518;
6.263837;-0.447738;-0.142529;0.237441;0.014481;-0.892221;-0.497928;1.128679;
6.263950;-0.433324;-0.145082;0.243381;0.009007;-0.889980;-0.484389;1.127374;
6.264062;-0.419187;-0.148074;0.249073;0.003020;-0.887511;-0.471433;1.125368;
6.264288;-0.391216;-0.154462;0.260159;-0.009625;-0.882272;-0.446223;1.121880;
6.264738;-0.337331;-0.169898;0.280538;-0.038449;-0.870217;-0.400008;1.114948;
6.265639;-0.238092;-0.208789;0.314741;-0.106744;-0.841322;-0.322911;1.102081;
6.266540;-0.151860;-0.256772;0.340043;-0.186301;-0.807320;-0.266560;1.089241;
6.268342;-0.023761;-0.368903;0.365109;-0.361803;-0.731593;-0.213004;1.061395;
6.270144;0.041719;-0.488885;0.357891;-0.543012;-0.652626;-0.233863;1.030495;
6.271256;0.051380;-0.559511;0.339475;-0.648905;-0.606147;-0.278723;1.009251;
6.271256;0.051708;-0.562941;0.339588;-0.649382;-0.605942;-0.278474;1.009165;
6.271259;0.051699;-0.563098;0.339534;-0.649611;-0.605841;-0.278605;1.009101;
6.271259;0.051699;-0.563099;0.339534;-0.649611;-0.605841;-0.278605;1.006479;
6.271353;0.051322;-0.569261;0.337386;-0.658570;-0.601895;-0.283758;1.006477;
6.271448;0.050769;-0.575377;0.335164;-0.667464;-0.597976;-0.289078;1.006477;
