time;WECCPV_photovoltaics_injector_PInjPu;WECCPV_photovoltaics_injector_QInjPu;WECCPV_photovoltaics_injector_terminal_V_re;WECCPV_photovoltaics_injector_terminal_i_re;WECCPV_photovoltaics_injector_terminal_V_im;WECCPV_photovoltaics_injector_terminal_i_im;WECCPV_photovoltaics_pll_omegaPLLPu;
1.0741461291;0.2143542964;0.6546486934;0.6456807348;-0.4287085928;0.0643071747;0.9711915213;0.9999998398;
1.0744661291;0.2123953444;0.6552092469;0.6458820134;-0.4247906888;0.0637194810;0.9725333601;0.9999998397;
1.0751061291;0.2084719747;0.6562895657;0.6462741883;-0.4169439494;0.0625424539;0.9751478234;0.9999998395;
1.0763861291;0.2006045398;0.6582937143;0.6470182882;-0.4012090795;0.0601821909;0.9801084212;0.9999998389;
1.0776661291;0.1927114261;0.6600975872;0.6477103436;-0.3854228523;0.0578142242;0.9847220603;0.9999998384;
1.0802261291;0.1773014412;0.6631581607;0.6489308138;-0.3546028824;0.0531911650;0.9928584165;0.9999998405;
1.0827861291;0.1639414270;0.6654962881;0.6498835335;-0.3278828541;0.0491831056;0.9992097932;0.9999998555;
1.0850901291;0.1540657337;0.6671268651;0.6505422409;-0.3081314675;0.0462203567;1.0036011157;0.9999998764;
1.0873941291;0.1462083223;0.6683045407;0.6510275430;-0.2924166445;0.0438631008;1.0068364188;0.9999998995;
1.0896981291;0.1401930745;0.6691201745;0.6513732566;-0.2803861490;0.0420585017;1.0091411438;0.9999999218;
1.0920021291;0.1357954536;0.6696332160;0.6516051341;-0.2715909071;0.0407391972;1.0106869729;0.9999999417;
1.0943061291;0.1327858607;0.6698955914;0.6517446844;-0.2655717214;0.0398363069;1.0116172952;0.9999999589;
1.0966101291;0.1309473194;0.6699535299;0.6518098096;-0.2618946389;0.0392847369;1.0120514576;0.9999999735;
1.0989141291;0.1300821711;0.6698474812;0.6518153068;-0.2601643423;0.0390251889;1.0120881049;0.9999999856;
1.1012181291;0.1300141359;0.6696126022;0.6517734450;-0.2600282718;0.0390047780;1.0118090300;0.9999999956;
1.1035221291;0.1305748378;0.6692915507;0.6516971399;-0.2611496756;0.0391729909;1.0113003364;1.0000000036;
1.1058261291;0.1316427692;0.6688852758;0.6515898987;-0.2632855384;0.0394933747;1.0105854046;1.0000000100;
1.1104341291;0.1347529405;0.6679527233;0.6513228022;-0.2695058811;0.0404264390;1.0088047862;1.0000000191;
1.1150421291;0.1387328978;0.6669515737;0.6510135319;-0.2774657956;0.0416204426;1.0067430128;1.0000000239;
1.1196501291;0.1430859772;0.6659612480;0.6506905148;-0.2861719543;0.0429263844;1.0045895949;1.0000000258;
1.1242581291;0.1474520877;0.6650452145;0.6503764624;-0.2949041754;0.0442362356;1.0024959412;1.0000000255;
1.1288661291;0.1515877678;0.6642376901;0.6500860811;-0.3031755357;0.0454769567;1.0005600924;1.0000000240;
1.1334741291;0.1553432638;0.6635548799;0.6498283450;-0.3106865277;0.0466036211;0.9988418753;1.0000000216;
1.1380821291;0.1586395811;0.6629993494;0.6496075867;-0.3172791622;0.0475925299;0.9973701734;1.0000000189;
1.1389256198;0.1591902676;0.6629108961;0.6495712734;-0.3183805351;0.0477577381;0.9971280881;1.0000000184;
1.1389256198;0.1591904212;0.6629130486;0.6495716719;-0.3183808424;0.0477577842;0.9971307449;1.0000000184;
1.1389356198;0.1591968804;0.6629119304;0.6495712304;-0.3183937609;0.0477597220;0.9971278015;1.0000000183;
1.1389456198;0.1592033214;0.6629109094;0.6495708078;-0.3184066428;0.0477616543;0.9971249841;1.0000000183;
1.1389656198;0.1592162042;0.6629088274;0.6495699550;-0.3184324083;0.0477655192;0.9971192989;1.0000000183;
1.1390056198;0.1592419209;0.6629047944;0.6495682756;-0.3184838418;0.0477732343;0.9971081032;1.0000000183;
1.1390856198;0.1592932526;0.6628966733;0.6495649097;-0.3185865052;0.0477886340;0.9970856642;1.0000000182;
1.1392456198;0.1593954501;0.6628805426;0.6495582137;-0.3187909002;0.0478192937;0.9970410247;1.0000000181;
1.1395656198;0.1595979821;0.6628487252;0.6495449646;-0.3191959641;0.0478800541;0.9969526985;1.0000000179;
1.1402056198;0.1599956160;0.6627868462;0.6495190347;-0.3199912320;0.0479993459;0.9967798352;1.0000000175;
1.1414856198;0.1607614274;0.6626699356;0.6494694158;-0.3215228548;0.0482290925;0.9964490466;1.0000000167;
1.1440456198;0.1621780512;0.6624620275;0.6493788337;-0.3243561024;0.0486540855;0.9958451745;1.0000000151;
1.1491656198;0.1645816075;0.6621376586;0.6492293954;-0.3291632150;0.0493751623;0.9948489331;1.0000000121;
1.1542856198;0.1664583611;0.6619196376;0.6491183907;-0.3329167222;0.0499381962;0.9941089118;1.0000000093;
1.1594056198;0.1678768770;0.6617867219;0.6490399323;-0.3357537540;0.0503637568;0.9935858633;1.0000000070;
1.1645256198;0.1689103298;0.6617186192;0.6489878775;-0.3378206597;0.0506737969;0.9932388355;1.0000000051;
1.1696456198;0.1696307779;0.6616974528;0.6489563882;-0.3392615557;0.0508899343;0.9930289097;1.0000000035;
1.1798856198;0.1704587075;0.6617257675;0.6489299499;-0.3409174150;0.0511383166;0.9928526568;1.0000000013;
1.1901256198;0.1707127200;0.6618064665;0.6489353458;-0.3414254400;0.0512145214;0.9928886292;1.0000000001;
1.2003656198;0.1706707267;0.6618940213;0.6489534231;-0.3413414534;0.0512019233;0.9930091428;0.9999999995;
1.2106056198;0.1705172501;0.6619655712;0.6489727802;-0.3410345002;0.0511558796;0.9931381886;0.9999999994;
1.2208456198;0.1703557946;0.6620139856;0.6489880888;-0.3407115891;0.0511074423;0.9932402441;0.9999999995;
1.2310856198;0.1702319066;0.6620410418;0.6489979337;-0.3404638132;0.0510702754;0.9933058761;0.9999999997;
1.2515656198;0.1701100590;0.6620596196;0.6490061029;-0.3402201181;0.0510337206;0.9933603371;0.9999999999;
1.2720456198;0.1700945009;0.6620536006;0.6490055685;-0.3401890017;0.0510290531;0.9933567742;1.0000000000;
1.2833012914;0.1701035609;0.6620485000;0.6490042621;-0.3402071218;0.0510317712;0.9933480651;1.0000000001;
1.2833012914;0.1701035609;0.6620485000;0.6490042621;-0.3402071218;0.0510317712;0.9933480651;1.0000000001;
1.2833112914;0.1701035861;0.6620484956;0.6490042603;-0.3402071722;0.0510317787;0.9933480532;1.0000000001;
1.2833212914;0.1701036110;0.6620484874;0.6490042578;-0.3402072220;0.0510317862;0.9933480365;1.0000000001;
1.2833412914;0.1701036609;0.6620484727;0.6490042531;-0.3402073218;0.0510318012;0.9933480053;1.0000000001;
1.2833812914;0.1701037603;0.6620484383;0.6490042429;-0.3402075205;0.0510318310;0.9933479367;1.0000000001;
1.2834612914;0.1701039592;0.6620483729;0.6490042230;-0.3402079183;0.0510318907;0.9933478040;1.0000000001;
1.2836212914;0.1701043566;0.6620482429;0.6490041833;-0.3402087132;0.0510320099;0.9933475394;1.0000000001;
1.2839412914;0.1701051497;0.6620479853;0.6490041044;-0.3402102995;0.0510322478;0.9933470137;1.0000000001;
1.2845812914;0.1701067284;0.6620474801;0.6490039489;-0.3402134569;0.0510327214;0.9933459768;1.0000000001;
1.2858612914;0.1701098482;0.6620465098;0.6490036468;-0.3402196964;0.0510336574;0.9933439628;1.0000000001;
1.2884212914;0.1701158913;0.6620447260;0.6490030796;-0.3402317827;0.0510354704;0.9933401816;1.0000000001;
1.2935412914;0.1701269489;0.6620417469;0.6490020953;-0.3402538979;0.0510387877;0.9933336197;1.0000000001;
1.2986612914;0.1701364507;0.6620394894;0.6490013063;-0.3402729014;0.0510416383;0.9933283597;1.0000000000;
1.3089012914;0.1701505904;0.6620366091;0.6490002222;-0.3403011808;0.0510458802;0.9933211326;1.0000000000;
1.3181172914;0.1701583176;0.6620354771;0.6489997128;-0.3403166352;0.0510481984;0.9933177369;1.0000000000;
1.3273332914;0.1701623302;0.6620352007;0.6489995068;-0.3403246605;0.0510494022;0.9933163637;1.0000000000;
1.3365492914;0.1701638301;0.6620353699;0.6489994811;-0.3403276603;0.0510498522;0.9933161919;1.0000000000;
1.3457652914;0.1701637935;0.6620357264;0.6489995495;-0.3403275870;0.0510498412;0.9933166481;1.0000000000;
1.3641972914;0.1701624262;0.6620363610;0.6489997213;-0.3403248523;0.0510494310;0.9933177932;1.0000000000;
