time;Generator_generator_cePu;Generator_generator_PePu;Generator_generator_cmPu;Generator_generator_PmPu;Generator_generator_ufPu;Generator_generator_efdPu;Generator_generator_omegaPu;Generator_generator_theta;Generator_generator_PGenPu;Generator_generator_QGenPu;Generator_generator_PGen;Generator_generator_QGen;Generator_generator_UPu;Generator_generator_IStatorPu;Generator_generator_IRotorPu;Generator_generator_UStatorPu;Generator_generator_QStatorPu;Generator_generator_thetaInternal;Generator_voltageRegulator_VrefPu;Generator_voltageRegulator_VsPu;Generator_voltageRegulator_VcPu;Generator_governor_RefLPu;Generator_governor_omegaPu;Generator_governor_PmPu;Load_LoadPQ_terminal_i_re;Load_LoadPQ_terminal_i_im;
5.89845;0.797962;0.797723;0.796741;0.796503;0.00130723;1.88378;0.999701;2.35153;3.78921;1.01722e-16;378.921;1.01722e-14;0.998576;3.79459;1.88204;0.998576;1.01599e-16;0.96289;1.00942;0;0.998576;0.04;0.999701;0.796503;0.687387;3.73186;
6.22557;0.798235;0.797963;0.797459;0.797188;0.00130715;1.88366;0.99966;2.3192;3.79034;-1.42125e-18;379.034;-1.42125e-16;0.998726;3.79516;1.88234;0.998726;-1.55046e-18;0.962953;1.00942;0;0.998726;0.04;0.99966;0.797188;0.80802;3.70819;
6.55269;0.798469;0.798177;0.798063;0.797772;0.00130709;1.88357;0.999635;2.28339;3.79135;-4.4948e-18;379.135;-4.4948e-16;0.99886;3.79567;1.8826;0.99886;-4.66789e-18;0.96302;1.00942;0;0.99886;0.04;0.999635;0.797772;0.940632;3.6773;
6.8798;0.798668;0.798368;0.798561;0.798261;0.00130704;1.88351;0.999624;2.24566;3.79225;4.39861e-17;379.225;4.39861e-15;0.99898;3.79612;1.88283;0.99898;4.39201e-17;0.963089;1.00942;0;0.99898;0.04;0.999624;0.798261;1.07907;3.63954;
7.20692;0.798838;0.798537;0.798964;0.798663;0.00130702;1.88348;0.999623;2.20726;3.79306;6.48296e-17;379.306;6.48296e-15;0.999087;3.79653;1.88303;0.999087;6.47384e-17;0.963158;1.00942;0;0.999087;0.04;0.999623;0.798663;1.21835;3.59572;
7.53404;0.798983;0.798688;0.799284;0.79899;0.00130703;1.88349;0.999631;2.1692;3.79378;1.21087e-16;379.378;1.21087e-14;0.999182;3.79689;1.8832;0.999182;1.21122e-16;0.963224;1.00942;0;0.999182;0.04;0.999631;0.79899;1.35466;3.547;
7.86116;0.799106;0.798823;0.799533;0.799249;0.00130705;1.88353;0.999646;2.13223;3.79442;6.25867e-17;379.442;6.25867e-15;0.999267;3.79721;1.88335;0.999267;6.2615e-17;0.963287;1.00942;0;0.999267;0.04;0.999646;0.799249;1.48518;3.4947;
8.18828;0.799213;0.798944;0.799721;0.799453;0.00130709;1.88358;0.999664;2.09689;3.79499;-6.56121e-18;379.499;-6.56121e-16;0.999342;3.7975;1.88349;0.999342;-6.57711e-18;0.963345;1.00942;0;0.999342;0.04;0.999664;0.799453;1.60803;3.44021;
8.84252;0.799388;0.799153;0.799972;0.799738;0.00130722;1.88377;0.999707;2.03266;3.79598;-1.7572e-21;379.598;-1.7572e-19;0.999471;3.79799;1.88372;0.999471;-9.82712e-22;0.963445;1.00942;0;0.999471;0.04;0.999707;0.799738;1.82613;3.33016;
9.49675;0.799498;0.799301;0.800091;0.799894;0.00130715;1.88367;0.999754;1.9775;3.7968;1.83381e-17;379.68;1.83381e-15;0.999579;3.7984;1.88387;0.999579;1.794e-17;0.963535;1.00942;0;0.999579;0.04;0.999754;0.799894;2.00737;3.22445;
10.151;0.79958;0.799419;0.800126;0.799966;0.00130731;1.8839;0.999799;1.93158;3.79741;-1.26749e-16;379.741;-1.26749e-14;0.999659;3.79871;1.88399;0.999659;-1.2666e-16;0.963604;1.00942;0;0.999659;0.04;0.999799;0.799966;2.15366;3.12902;
10.8052;0.799665;0.799537;0.800118;0.799989;0.00130756;1.88426;0.999839;1.89419;3.79789;3.3669e-16;379.789;3.3669e-14;0.999722;3.79894;1.88412;0.999722;3.36416e-16;0.963647;1.00942;0;0.999722;0.04;0.999839;0.799989;2.26965;3.04682;
11.4595;0.799741;0.799638;0.800095;0.799992;0.00130761;1.88433;0.999871;1.8641;3.7983;-5.96686e-16;379.83;-5.96686e-14;0.999777;3.79915;1.88422;0.999777;-5.96438e-16;0.963679;1.00942;0;0.999777;0.04;0.999871;0.799992;2.36077;2.97762;
12.1137;0.799796;0.799714;0.800071;0.799989;0.0013076;1.88431;0.999897;1.83999;3.79865;2.1037e-16;379.865;2.1037e-14;0.999822;3.79932;1.8843;0.999822;2.09425e-16;0.963706;1.00942;0;0.999822;0.04;0.999897;0.799989;2.43215;2.92006;
12.7679;0.799841;0.799775;0.800054;0.799988;0.00130766;1.88441;0.999917;1.82064;3.79891;-3.52501e-16;379.891;-3.52501e-14;0.999856;3.79945;1.88436;0.999856;-3.52887e-16;0.963726;1.00942;0;0.999856;0.04;0.999917;0.799988;2.48832;2.87254;
13.4222;0.799876;0.799823;0.800043;0.79999;0.00130769;1.88444;0.999933;1.80506;3.79912;1.47217e-16;379.912;1.47217e-14;0.999885;3.79956;1.88441;0.999885;1.47409e-16;0.963742;1.00942;0;0.999885;0.04;0.999933;0.79999;2.53284;2.83338;
14.0764;0.799899;0.799856;0.800036;0.799993;0.00130767;1.88441;0.999946;1.79248;3.7993;-1.86935e-17;379.93;-1.86935e-15;0.999908;3.79965;1.88444;0.999908;-1.8774e-17;0.963757;1.00942;0;0.999908;0.04;0.999946;0.799993;2.56827;2.80117;
14.7307;0.799919;0.799884;0.800031;0.799996;0.00130772;1.88449;0.999956;1.78233;3.79943;4.44521e-16;379.943;4.44521e-14;0.999925;3.79972;1.88447;0.999925;4.4462e-16;0.963768;1.00942;0;0.999925;0.04;0.999956;0.799996;2.59656;2.77486;
16.0391;0.799947;0.799925;0.800022;0.799999;0.00130774;1.88451;0.999972;1.76718;3.79964;1.07063e-20;379.964;1.07063e-18;0.999953;3.79982;1.88451;0.999953;1.08361e-20;0.963784;1.00942;0;0.999953;0.04;0.999972;0.799999;2.63808;2.73481;
